col_num code v[vesc] alpha[deg] mtot[MSUN] gamma[1] wft[%] wfp[%] Nbig[1] mfr[mtot] r1[AU] phi_r1[rad] th_r1[rad] v1[AU/yr/2pi] phi_v1[rad] th_v1[rad] m1[mtot] wf1[1] r2[AU] phi_r2[rad] th_r2[rad] v2[AU/yr/2pi] phi_v2[rad] th_v2[rad] m2[mtot] w1[wtot]
1 000000 1.0 0.0 9.4379095486e-10 0.1 10.0 10.0 1 0.000364908402123 3.66793167027e-08 1.54285706229 1.62577707254 9.73155557317e-06 1.63346010648 1.56510392731 0.999635091598 0.996353870141 9.12887554044e-05 -2.95627619155 0.703994532177 0.0123465297922 -2.86126603161 0.709164673994 2.02614376644e-05 0.000202590876103 
2 000001 1.0 0.0 9.4379095486e-10 0.1 10.0 20.0 1 0.000595058776691 1.16197135536e-07 1.4913566634 1.40230494532 2.76346267958e-05 1.64404894615 1.34933999886 0.999404941223 0.994512079974 9.52630637735e-05 -2.55345035929 0.607128853341 0.0132622419324 -2.45903989833 0.63784209713 2.05167537255e-05 0.000189269644219 
3 000010 1.0 0.0 9.4379095486e-10 0.1 20.0 10.0 1 0.000233514516374 8.18068238757e-08 -1.21796403787 1.45789863903 1.86137112943e-05 -1.30225802345 1.45310969201 0.999766485484 0.998750095991 7.78801165206e-05 3.04575638125 1.64098771204 0.0100850969343 3.12115424302 1.6447231712 2.33135816745e-05 0.000125006403111 
4 000011 1.0 0.0 9.4379095486e-10 0.1 20.0 20.0 1 0.000235065746613 9.61144041194e-08 -1.55224732277 1.70187587017 2.57262573119e-05 -1.54973845395 1.70339108996 0.999764934253 0.998812101272 5.93073785111e-05 -0.547409646038 2.86623541417 0.00678759505772 -0.925287973192 2.7698114904 2.34953744698e-05 0.000118792739525 
5 000100 1.0 0.0 9.4379095486e-10 0.5 10.0 10.0 1 0.00054634740666 7.17465006164e-08 -1.45199952343 1.54470929343 2.25954672892e-05 -1.39975750954 1.54481676847 0.999453652593 0.994611315459 0.000105138237179 -0.322808939403 0.764596975756 0.015542161389 -0.35872154293 0.771653501368 2.02417400899e-05 0.000199655762393 
6 000101 1.0 0.0 9.4379095486e-10 0.5 10.0 20.0 1 0.000746124989497 2.51688391341e-08 2.75997368693 1.53666746703 1.18569471557e-05 2.89622738418 0.926742122871 0.999253875011 0.994278886509 0.000105669143192 -2.73899637381 2.8400779242 0.0158065666569 -2.66913742176 2.83043106744 2.13168919932e-05 0.000163478865 
7 000110 1.0 0.0 9.4379095486e-10 0.5 20.0 10.0 1 0.000762699370307 1.49585314681e-07 -1.68098944347 1.67336841547 4.28167045598e-05 -1.50467469307 1.46807594262 0.99923730063 0.995440658786 6.36708498296e-05 2.96933770942 1.01944251305 0.00790030944509 3.01147152837 1.0075601148 2.24420963215e-05 0.000134177241633 
8 000111 1.0 0.0 9.4379095486e-10 0.5 20.0 20.0 1 0.000892537430789 7.66358154121e-08 -1.18679811018 1.31719048082 1.84933283511e-05 -1.18060272452 1.12243222214 0.999107462569 0.995536967856 5.75116938457e-05 3.11095466099 1.22316313442 0.00677584253653 -3.11372795273 1.21897114766 2.34959841128e-05 0.000117502422278 
9 000200 1.0 0.0 9.4379095486e-10 1.0 10.0 10.0 1 0.00086748353373 3.79565696045e-08 -2.70851562382 1.16251801726 1.09964294809e-05 -2.62290804489 0.860150973817 0.999132516466 0.991268953163 0.000112271534512 -0.517726065681 0.569738156996 0.0168618641474 -0.53170353973 0.573919160249 2.0173857495e-05 0.000203095680597 
10 000201 1.0 0.0 9.4379095486e-10 1.0 10.0 20.0 1 0.000813201560107 8.75812670691e-08 1.67930306882 1.35299059798 2.84514483758e-05 1.72292285438 1.50479639805 0.99918679844 0.994578361516 7.29931572375e-05 -2.25342824303 2.88611881226 0.0098725314281 -2.22486552631 2.87463996015 2.19905420542e-05 0.000146609575817 
11 000210 1.0 0.0 9.4379095486e-10 1.0 20.0 10.0 1 0.000813201560107 8.75812670691e-08 1.67930306882 1.35299059798 2.84514483758e-05 1.72292285438 1.50479639805 0.99918679844 0.994578361516 7.29931572375e-05 -2.25342824303 2.88611881226 0.0098725314281 -2.22486552631 2.87463996015 2.19905420542e-05 0.000146609575817 
12 000211 1.0 0.0 9.4379095486e-10 1.0 20.0 20.0 1 0.00103368209253 7.33850884074e-08 -1.54889453906 0.898383703365 1.65218548978e-05 -1.7887141163 0.882567291373 0.998966317907 0.994841830432 7.30950064557e-05 3.07031596923 2.45479347032 0.0100488001421 3.06935302324 2.45900805527 4.69934200422e-05 0.000234470491709 
13 001000 1.0 0.0 7.390278043e-08 0.1 10.0 10.0 1 0.00108126103006 8.62575716138e-07 1.59640946398 1.56876669091 0.000271613384272 1.60047729315 1.58530860617 0.99891873897 0.989183893177 0.000339528206334 -0.0837336607859 0.637441187163 0.0435475943985 -0.208660931399 0.646180831259 3.86607439485e-05 0.000386777428165 
14 001001 1.0 0.0 7.390278043e-08 0.1 10.0 20.0 1 0.00123423547791 9.13473805612e-07 1.5255501796 1.60528478196 0.000278958584673 1.51530983077 1.60572966758 0.998765764522 0.98901237664 0.000287520678777 -0.186173198164 2.13678698594 0.0345827230027 -0.310421439574 2.12602121476 1.97685774308e-05 0.000175946838611 
15 001010 1.0 0.0 7.390278043e-08 0.1 20.0 10.0 1 0.000178672647066 5.3472330788e-07 1.83271295179 2.00262127359 0.000184160283327 1.89058528602 2.04972576628 0.999821327353 0.999064852799 0.000254322575517 0.0420473302652 2.08160248128 0.0282974551772 -0.10777977567 2.09158276876 4.48315685131e-05 0.000234578156128 
16 001011 1.0 0.0 7.390278043e-08 0.1 20.0 20.0 1 0.000269857281524 4.87679388413e-07 1.5642183426 1.83754552712 0.000185014551791 1.63062841996 1.94361789279 0.999730142718 0.99863222521 0.000312218171325 -0.0134897651117 2.25739400624 0.0397477121397 -0.121846443409 2.24856881797 2.26359686449e-05 0.000114716819168 
17 001100 1.0 0.0 7.390278043e-08 0.5 10.0 10.0 1 0.00348381872186 8.48296754148e-07 1.72976214512 1.48238251641 0.000263959742543 1.67284235227 1.5066328337 0.996516181278 0.965086849827 0.000312217272683 -2.95575232907 1.41528328034 0.0409623243178 -2.91377201253 1.41986622965 3.90833235957e-05 0.000391695239671 
18 001101 1.0 0.0 7.390278043e-08 0.5 10.0 20.0 1 0.00306526134688 1.48630593831e-06 1.47273333988 1.54522000148 0.000479865497564 1.5159965754 1.54708017835 0.996934738653 0.976671707924 0.000235097524383 -3.02673260653 2.22917863559 0.0259571659647 -2.93847140792 2.22950081289 2.07689899542e-05 0.000158062171259 
19 001110 1.0 0.0 7.390278043e-08 0.5 20.0 10.0 1 0.00164587168473 2.12181755425e-07 -2.34096332025 1.12061226424 5.63515387371e-05 -2.31815833869 0.952764332462 0.998354128315 0.990165841724 0.00023737648898 3.08777319692 1.42037660569 0.0262616251924 -3.13871439263 1.41495588785 4.31829003886e-05 0.000258033581482 
20 001111 1.0 0.0 7.390278043e-08 0.5 20.0 20.0 1 0.00163004778031 3.49743245195e-07 1.54939773946 1.30100403587 9.17160920288e-05 1.38177795933 1.49665245694 0.99836995222 0.991738444627 0.00024400341693 -0.511383265497 2.89616241535 0.0285004417485 -0.73419424316 2.86476833154 4.55379837145e-05 0.000230741123823 
21 001200 1.0 0.0 7.390278043e-08 1.0 10.0 10.0 1 0.00404878985943 2.85498292002e-07 1.2641982547 1.83283339245 9.87405231646e-05 1.35719882671 1.75357373279 0.995951210141 0.960124723839 0.000233765749086 2.92795000991 1.21990885363 0.0255538063677 2.89229213553 1.22420724785 1.98945870343e-05 0.000195923746553 
22 001201 1.0 0.0 7.390278043e-08 1.0 10.0 20.0 1 0.0024625476162 3.14798903697e-07 1.90725132818 1.88136270028 6.12332162396e-05 1.64544342085 1.66973200293 0.997537452384 0.983520098021 0.000236017815534 2.87987072574 0.901537422683 0.0267290055108 2.84493416349 0.903302934567 2.16924616935e-05 0.000145180777365 
23 001210 1.0 0.0 7.390278043e-08 1.0 20.0 10.0 1 0.0024625476162 3.14798903697e-07 1.90725132818 1.88136270028 6.12332162396e-05 1.64544342085 1.66973200293 0.997537452384 0.983520098021 0.000236017815534 2.87987072574 0.901537422683 0.0267290055108 2.84493416349 0.903302934567 2.16924616935e-05 0.000145180777365 
24 001211 1.0 0.0 7.390278043e-08 1.0 20.0 20.0 1 0.00204227821742 8.96725468956e-08 1.13582808818 3.03809645613 2.12813322246e-05 2.79267597312 0.955798735032 0.997957721783 0.989790613108 0.000293719023749 -0.101186514472 2.80196714248 0.0388968946661 -0.111776792353 2.80212745585 4.54932458699e-05 0.00022741960833 
25 002000 1.0 0.0 6.454309092e-07 0.1 10.0 10.0 1 0.00116528466351 1.34196447973e-06 1.56045751874 1.65170501342 0.000365672311484 1.75670800777 1.91185785713 0.998834715336 0.988418862271 0.000631242602457 -3.0408822224 1.59114367099 0.0759118360129 -2.95194721136 1.58768890137 1.80835164904e-05 0.000179720180901 
26 002001 1.0 0.0 6.454309092e-07 0.1 10.0 20.0 1 0.00153313469784 1.27330578683e-06 1.20742816009 1.49200384102 0.000290004130429 1.17072529471 1.46574776774 0.998466865302 0.986115600224 0.000538429344299 -1.61564782169 3.0739262895 0.0592031430978 -1.66012591408 2.95687222346 1.85197592307e-05 0.000167711337422 
27 002010 1.0 0.0 6.454309092e-07 0.1 20.0 10.0 1 0.0 4.20359948468e-07 1.29007593715 1.97072529581 4.85458437051e-05 0.207435407029 2.51108383179 1.0 1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 
28 002011 1.0 0.0 6.454309092e-07 0.1 20.0 20.0 1 0.0 7.94540450475e-07 1.13607465267 2.18260882723 0.000173790587501 0.706174805606 2.42432308328 1.0 1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 
29 002100 1.0 0.0 6.454309092e-07 0.5 10.0 10.0 1 0.00628452392098 5.51984127299e-07 1.53831076876 1.35203128155 1.57201614715e-05 -2.98694503648 1.47402717498 0.993715476079 0.935612197108 0.000533663834351 -0.188971208298 1.88210374982 0.0610275734295 -0.251577806434 1.87362771474 1.91812954467e-05 0.000196519135775 
30 002101 1.0 0.0 6.454309092e-07 0.5 10.0 20.0 1 0.00771800241587 1.94421519693e-06 1.70961210076 1.45728281371 0.000328269522063 2.10309626775 1.45356950844 0.992281997584 0.942867864968 0.000560696608679 -1.4106111631 0.360477463469 0.0686850807849 -1.42711531741 0.428952528144 2.04698324236e-05 0.000151520079525 
31 002110 1.0 0.0 6.454309092e-07 0.5 20.0 10.0 1 0.00353381326268 6.44047260017e-07 2.77215803507 1.93285638748 0.000182828009883 -2.66056271552 2.07508440628 0.996466186737 0.978757578962 0.000495587915753 3.10555639079 1.95187274373 0.054381611025 -3.12785986775 1.94808433497 2.12930819467e-05 0.000127996231881 
32 002111 1.0 0.0 6.454309092e-07 0.5 20.0 20.0 1 0.0042781761369 3.82339160453e-07 1.28491759933 1.09252775178 3.90508965399e-05 -1.28156794144 1.06888451753 0.995721823863 0.978565164162 0.00048661294401 -0.595253796663 2.74786193964 0.0544599437169 -0.759202495368 2.69495884044 2.20908363142e-05 0.000110678194236 
33 002200 1.0 0.0 6.454309092e-07 1.0 10.0 10.0 1 0.00712989633362 1.11404200283e-07 -2.47777459462 1.27047673419 8.60260073031e-05 -2.86587540414 2.273509876 0.992870103666 0.930882720864 0.000683546778159 0.107855105078 1.5925503128 0.0909074989561 0.112194582934 1.5967377784 1.93577154324e-05 0.000187646584036 
34 002201 1.0 0.0 6.454309092e-07 1.0 10.0 20.0 1 0.00761729843769 2.78843230617e-07 1.95109830369 2.07555681216 0.000152546723229 2.38934720641 1.91005257132 0.992382701562 0.948895905759 0.000502748251407 0.053002849083 1.51422692141 0.0565400995561 0.0576717574932 1.50718056006 2.12624445263e-05 0.00014264783605 
35 002210 1.0 0.0 6.454309092e-07 1.0 20.0 10.0 1 0.00761729843769 2.78843230617e-07 1.95109830369 2.07555681216 0.000152546723229 2.38934720641 1.91005257132 0.992382701562 0.948895905759 0.000502748251407 0.053002849083 1.51422692141 0.0565400995561 0.0576717574932 1.50718056006 2.12624445263e-05 0.00014264783605 
36 002211 1.0 0.0 6.454309092e-07 1.0 20.0 20.0 1 0.00616551405353 6.01821084025e-07 -0.55774478127 2.29561161676 0.000127992990972 -0.757104624785 2.32295575359 0.993834485946 0.969238912981 0.000531717035834 0.0632538054515 1.44879816998 0.0640603481615 0.0680097132602 1.4492190397 2.21024613031e-05 0.000110267952732 
37 003000 1.0 0.0 6.006979232e-06 0.1 10.0 10.0 1 0.0 1.60933758842e-06 1.39412892507 1.3674581997 0.000153787880574 -0.625408901102 1.79508791828 1.0 1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 
38 003001 1.0 0.0 6.006979232e-06 0.1 10.0 20.0 1 1.42183503704e-05 3.08747010902e-06 1.57127250274 1.35067490451 0.000705667024098 1.42953558654 1.57863939962 0.99998578165 0.999867487603 0.00119169835145 3.07311279338 1.58206305773 0.127410786954 -3.11869021006 1.58949671061 1.43323146303e-05 0.000132457155971 
39 003010 1.0 0.0 6.006979232e-06 0.1 20.0 10.0 1 0.0 3.77735528035e-07 1.31650185504 1.25063753541 0.000107869095871 -1.33131344202 1.42570409787 1.0 1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 
40 003011 1.0 0.0 6.006979232e-06 0.1 20.0 20.0 1 0.0 2.83535783945e-07 1.29000031235 1.4431352192 0.000129102579153 -1.76545460956 1.45689548915 1.0 1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 
41 003100 1.0 0.0 6.006979232e-06 0.5 10.0 10.0 -1 -1 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 
42 003101 1.0 0.0 6.006979232e-06 0.5 10.0 20.0 -1 -1 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 
43 003110 1.0 0.0 6.006979232e-06 0.5 20.0 10.0 -1 -1 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 
44 003111 1.0 0.0 6.006979232e-06 0.5 20.0 20.0 -1 -1 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 -1.0 
45 003200 1.0 0.0 6.006979232e-06 1.0 10.0 10.0 1 0.00696308219499 4.29166515786e-06 0.664198157197 1.03585619736 0.00148410018786 0.718617994163 0.976644706686 0.993036917805 0.931172709109 0.00133816004311 3.09671344103 2.06450897397 0.162051153917 3.09393934721 2.07467171929 4.89877888805e-05 0.0 
46 003201 1.0 0.0 6.006979232e-06 1.0 10.0 20.0 1 0.00752297080736 2.61668458361e-06 0.262442094012 2.00376320495 0.000857574804057 -0.151300170689 2.13747231048 0.992477029193 0.949440810131 0.00127942457502 -2.97551638501 1.97256591188 0.153614097679 -2.95843268705 1.97589923635 2.29354657209e-05 0.000154139302008 
47 003210 1.0 0.0 6.006979232e-06 1.0 20.0 10.0 1 0.00752297080736 2.61668458361e-06 0.262442094012 2.00376320495 0.000857574804057 -0.151300170689 2.13747231048 0.992477029193 0.949440810131 0.00127942457502 -2.97551638501 1.97256591188 0.153614097679 -2.95843268705 1.97589923635 2.29354657209e-05 0.000154139302008 
